Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"53001950100","Census Tract 9501, Adams County, Washington","wa","140","00",,,,"53","001",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9501",,,,1013,836,715,121,0,0,0,72,26,79
"53001950200","Census Tract 9502, Adams County, Washington","wa","140","00",,,,"53","001",,,"950200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9502",,,,875,777,683,94,0,0,0,44,12,42
"53001950301","Census Tract 9503.01, Adams County, Washington","wa","140","00",,,,"53","001",,,"950301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9503.01",,,,524,524,426,98,0,0,0,0,0,0
"53001950302","Census Tract 9503.02, Adams County, Washington","wa","140","00",,,,"53","001",,,"950302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9503.02",,,,1202,1100,803,297,0,0,0,32,67,3
"53001950303","Census Tract 9503.03, Adams County, Washington","wa","140","00",,,,"53","001",,,"950303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9503.03",,,,1179,1036,864,172,0,0,0,0,16,127
"53001950400","Census Tract 9504, Adams County, Washington","wa","140","00",,,,"53","001",,,"950400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9504",,,,946,829,699,130,0,0,0,58,0,59
"53001950500","Census Tract 9505, Adams County, Washington","wa","140","00",,,,"53","001",,,"950500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9505",,,,2311,2091,1690,401,6,0,7,53,38,116
"53003960100","Census Tract 9601, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9601",,,,1754,1533,1405,128,0,9,0,13,0,199
"53003960200","Census Tract 9602, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9602",,,,2193,1758,1596,162,0,0,0,0,0,435
"53003960300","Census Tract 9603, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9603",,,,1482,1371,1261,110,8,0,14,65,13,11
"53003960400","Census Tract 9604, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9604",,,,858,790,683,107,1,0,0,0,7,60
"53003960500","Census Tract 9605, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9605",,,,1559,1381,1203,178,0,0,0,102,0,76
"53003960600","Census Tract 9606, Asotin County, Washington","wa","140","00",,,,"53","003",,,"960600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9606",,,,1454,1198,1171,27,2,0,8,50,0,196
"53005010100","Census Tract 101, Benton County, Washington","wa","140","00",,,,"53","005",,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 101",,,,2306,1705,1576,129,111,0,38,45,19,388
"53005010201","Census Tract 102.01, Benton County, Washington","wa","140","00",,,,"53","005",,,"010201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 102.01",,,,2948,2393,2155,238,65,0,0,22,31,437
"53005010203","Census Tract 102.03, Benton County, Washington","wa","140","00",,,,"53","005",,,"010203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 102.03",,,,2201,1808,1595,213,0,0,0,129,0,264
"53005010204","Census Tract 102.04, Benton County, Washington","wa","140","00",,,,"53","005",,,"010204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 102.04",,,,1397,1337,1193,144,0,0,18,11,0,31
"53005010300","Census Tract 103, Benton County, Washington","wa","140","00",,,,"53","005",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 103",,,,2679,2266,2068,198,51,0,0,64,16,282
"53005010400","Census Tract 104, Benton County, Washington","wa","140","00",,,,"53","005",,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 104",,,,1738,1588,1421,167,0,10,0,23,0,117
"53005010500","Census Tract 105, Benton County, Washington","wa","140","00",,,,"53","005",,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 105",,,,1472,1205,1040,165,30,0,15,0,0,222
"53005010600","Census Tract 106, Benton County, Washington","wa","140","00",,,,"53","005",,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 106",,,,1922,1702,1515,187,0,0,0,99,0,121
"53005010701","Census Tract 107.01, Benton County, Washington","wa","140","00",,,,"53","005",,,"010701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 107.01",,,,1003,839,708,131,0,8,0,8,6,142
"53005010703","Census Tract 107.03, Benton County, Washington","wa","140","00",,,,"53","005",,,"010703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 107.03",,,,1752,1552,1219,333,33,35,0,0,7,125
"53005010705","Census Tract 107.05, Benton County, Washington","wa","140","00",,,,"53","005",,,"010705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 107.05",,,,2815,2442,2290,152,20,0,0,25,13,315
"53005010707","Census Tract 107.07, Benton County, Washington","wa","140","00",,,,"53","005",,,"010707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 107.07",,,,1711,1406,1276,130,0,0,0,6,0,299
"53005010708","Census Tract 107.08, Benton County, Washington","wa","140","00",,,,"53","005",,,"010708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 107.08",,,,1776,1420,1309,111,0,15,0,22,26,293
"53005010807","Census Tract 108.07, Benton County, Washington","wa","140","00",,,,"53","005",,,"010807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 108.07",,,,679,582,500,82,0,0,0,9,0,88
"53005010809","Census Tract 108.09, Benton County, Washington","wa","140","00",,,,"53","005",,,"010809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 108.09",,,,2950,2563,2362,201,0,0,0,150,16,221
"53005010810","Census Tract 108.10, Benton County, Washington","wa","140","00",,,,"53","005",,,"010810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 108.10",,,,2430,1981,1683,298,0,15,12,0,0,422
"53005010811","Census Tract 108.11, Benton County, Washington","wa","140","00",,,,"53","005",,,"010811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 108.11",,,,2580,2150,2102,48,0,0,0,0,0,430
